@RELATION team_success

@ATTRIBUTE teama {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE pacea numeric
@ATTRIBUTE wona numeric
@ATTRIBUTE losta numeric
@ATTRIBUTE cumulativescorea numeric
@ATTRIBUTE teamb {ATL,BOS,CHI,CHR,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NJN,NOH,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,WAS}
@ATTRIBUTE paceb numeric
@ATTRIBUTE wonb numeric
@ATTRIBUTE lostb numeric
@ATTRIBUTE cumulativescoreb numeric
@ATTRIBUTE winner {0,1}

@DATA
CLE,93.840187,42,40,62969,IND,90.938339,44,38,61325,1
CLE,93.840187,42,40,62969,LAC,91.881775,37,45,62651,1
CLE,93.840187,42,40,62969,LAL,94.820389,34,48,65930,0
CLE,93.840187,42,40,62969,MEM,90.929123,45,37,61646,1
CLE,93.840187,42,40,62969,MIA,92.870872,59,23,63796,0
CLE,93.840187,42,40,62969,MIL,93.594177,30,52,63521,1
CLE,93.840187,42,40,62969,MIN,92.771713,44,38,62964,1
CLE,93.840187,42,40,62969,NJN,91.83976,42,40,61457,1
CLE,93.840187,42,40,62969,NOH,90.471931,18,64,61735,1
CLE,93.840187,42,40,62969,NYK,94.384277,33,49,63762,1
CLE,93.840187,42,40,62969,ORL,97.333916,36,46,65411,0
CLE,93.840187,42,40,62969,PHI,97.40168,43,39,66306,0
CLE,93.840187,42,40,62969,PHO,98.47644,62,20,69615,0
CLE,93.840187,42,40,62969,POR,92.568474,27,55,63280,1
CLE,93.840187,42,40,62969,SAC,96.841805,50,32,66721,0
CLE,93.840187,42,40,62969,SAS,91.455696,59,23,61433,0
CLE,93.840187,42,40,62969,SEA,91.244949,52,30,62773,0
CLE,93.840187,42,40,62969,TOR,95.012611,33,49,65318,0
CLE,93.840187,42,40,62969,UTA,91.195145,26,56,61361,1
CLE,93.840187,42,40,62969,WAS,96.008492,45,37,66161,0
DAL,95.204948,58,24,65387,ATL,93.94873,13,69,63680,1
DAL,95.204948,58,24,65387,BOS,95.735855,45,37,65720,1
DAL,95.204948,58,24,65387,CHI,96.283737,47,35,63778,1
DAL,95.204948,58,24,65387,CHR,96.20163,18,64,64207,1
DAL,95.204948,58,24,65387,CLE,93.840187,42,40,62969,1
DAL,95.204948,58,24,65387,DEN,96.02964,49,33,64821,1
DAL,95.204948,58,24,65387,DET,89.839737,54,28,61316,1
DAL,95.204948,58,24,65387,GSW,95.689407,34,48,66613,1
DAL,95.204948,58,24,65387,HOU,91.30323,51,31,62345,1
DAL,95.204948,58,24,65387,IND,90.938339,44,38,61325,1
DAL,95.204948,58,24,65387,LAC,91.881775,37,45,62651,1
DAL,95.204948,58,24,65387,LAL,94.820389,34,48,65930,1
DAL,95.204948,58,24,65387,MEM,90.929123,45,37,61646,1
DAL,95.204948,58,24,65387,MIA,92.870872,59,23,63796,1
DAL,95.204948,58,24,65387,MIL,93.594177,30,52,63521,1
DAL,95.204948,58,24,65387,MIN,92.771713,44,38,62964,1
DAL,95.204948,58,24,65387,NJN,91.83976,42,40,61457,1
DAL,95.204948,58,24,65387,NOH,90.471931,18,64,61735,1
DAL,95.204948,58,24,65387,NYK,94.384277,33,49,63762,1
DAL,95.204948,58,24,65387,ORL,97.333916,36,46,65411,1
DAL,95.204948,58,24,65387,PHI,97.40168,43,39,66306,1
DAL,95.204948,58,24,65387,PHO,98.47644,62,20,69615,0
DAL,95.204948,58,24,65387,POR,92.568474,27,55,63280,1
DAL,95.204948,58,24,65387,SAC,96.841805,50,32,66721,0
DAL,95.204948,58,24,65387,SAS,91.455696,59,23,61433,1
DAL,95.204948,58,24,65387,SEA,91.244949,52,30,62773,1
DAL,95.204948,58,24,65387,TOR,95.012611,33,49,65318,1
DAL,95.204948,58,24,65387,UTA,91.195145,26,56,61361,1
DAL,95.204948,58,24,65387,WAS,96.008492,45,37,66161,0
DEN,96.02964,49,33,64821,ATL,93.94873,13,69,63680,1
DEN,96.02964,49,33,64821,BOS,95.735855,45,37,65720,1
DEN,96.02964,49,33,64821,CHI,96.283737,47,35,63778,1
DEN,96.02964,49,33,64821,CHR,96.20163,18,64,64207,1
DEN,96.02964,49,33,64821,CLE,93.840187,42,40,62969,1
DEN,96.02964,49,33,64821,DAL,95.204948,58,24,65387,0
DEN,96.02964,49,33,64821,DET,89.839737,54,28,61316,1
DEN,96.02964,49,33,64821,GSW,95.689407,34,48,66613,0
DEN,96.02964,49,33,64821,HOU,91.30323,51,31,62345,1
DEN,96.02964,49,33,64821,IND,90.938339,44,38,61325,1
DEN,96.02964,49,33,64821,LAC,91.881775,37,45,62651,1
DEN,96.02964,49,33,64821,LAL,94.820389,34,48,65930,0
DEN,96.02964,49,33,64821,MEM,90.929123,45,37,61646,1
DEN,96.02964,49,33,64821,MIA,92.870872,59,23,63796,0
DEN,96.02964,49,33,64821,MIL,93.594177,30,52,63521,1
DEN,96.02964,49,33,64821,MIN,92.771713,44,38,62964,1
DEN,96.02964,49,33,64821,NJN,91.83976,42,40,61457,1
DEN,96.02964,49,33,64821,NOH,90.471931,18,64,61735,1
DEN,96.02964,49,33,64821,NYK,94.384277,33,49,63762,1
DEN,96.02964,49,33,64821,ORL,97.333916,36,46,65411,1
DEN,96.02964,49,33,64821,PHI,97.40168,43,39,66306,0
DEN,96.02964,49,33,64821,PHO,98.47644,62,20,69615,0
DEN,96.02964,49,33,64821,POR,92.568474,27,55,63280,1
DEN,96.02964,49,33,64821,SAC,96.841805,50,32,66721,0
DEN,96.02964,49,33,64821,SAS,91.455696,59,23,61433,1
DEN,96.02964,49,33,64821,SEA,91.244949,52,30,62773,1
DEN,96.02964,49,33,64821,TOR,95.012611,33,49,65318,1
DEN,96.02964,49,33,64821,UTA,91.195145,26,56,61361,1
DEN,96.02964,49,33,64821,WAS,96.008492,45,37,66161,0
DET,89.839737,54,28,61316,ATL,93.94873,13,69,63680,1
DET,89.839737,54,28,61316,BOS,95.735855,45,37,65720,0
DET,89.839737,54,28,61316,CHI,96.283737,47,35,63778,0
DET,89.839737,54,28,61316,CHR,96.20163,18,64,64207,1
DET,89.839737,54,28,61316,CLE,93.840187,42,40,62969,0
DET,89.839737,54,28,61316,DAL,95.204948,58,24,65387,0
DET,89.839737,54,28,61316,DEN,96.02964,49,33,64821,0
DET,89.839737,54,28,61316,GSW,95.689407,34,48,66613,0
DET,89.839737,54,28,61316,HOU,91.30323,51,31,62345,0
DET,89.839737,54,28,61316,IND,90.938339,44,38,61325,1
DET,89.839737,54,28,61316,LAC,91.881775,37,45,62651,1
DET,89.839737,54,28,61316,LAL,94.820389,34,48,65930,0
DET,89.839737,54,28,61316,MEM,90.929123,45,37,61646,1
DET,89.839737,54,28,61316,MIA,92.870872,59,23,63796,0
DET,89.839737,54,28,61316,MIL,93.594177,30,52,63521,1
DET,89.839737,54,28,61316,MIN,92.771713,44,38,62964,0
DET,89.839737,54,28,61316,NJN,91.83976,42,40,61457,1
DET,89.839737,54,28,61316,NOH,90.471931,18,64,61735,1
DET,89.839737,54,28,61316,NYK,94.384277,33,49,63762,1
DET,89.839737,54,28,61316,ORL,97.333916,36,46,65411,0
DET,89.839737,54,28,61316,PHI,97.40168,43,39,66306,0
DET,89.839737,54,28,61316,PHO,98.47644,62,20,69615,0
DET,89.839737,54,28,61316,POR,92.568474,27,55,63280,1
DET,89.839737,54,28,61316,SAC,96.841805,50,32,66721,0
DET,89.839737,54,28,61316,SAS,91.455696,59,23,61433,0
DET,89.839737,54,28,61316,SEA,91.244949,52,30,62773,0
DET,89.839737,54,28,61316,TOR,95.012611,33,49,65318,0
DET,89.839737,54,28,61316,UTA,91.195145,26,56,61361,1
DET,89.839737,54,28,61316,WAS,96.008492,45,37,66161,0
GSW,95.689407,34,48,66613,ATL,93.94873,13,69,63680,1
GSW,95.689407,34,48,66613,BOS,95.735855,45,37,65720,1
GSW,95.689407,34,48,66613,CHI,96.283737,47,35,63778,1
GSW,95.689407,34,48,66613,CHR,96.20163,18,64,64207,1
GSW,95.689407,34,48,66613,CLE,93.840187,42,40,62969,1
GSW,95.689407,34,48,66613,DAL,95.204948,58,24,65387,0
GSW,95.689407,34,48,66613,DEN,96.02964,49,33,64821,1
GSW,95.689407,34,48,66613,DET,89.839737,54,28,61316,1
GSW,95.689407,34,48,66613,HOU,91.30323,51,31,62345,1
GSW,95.689407,34,48,66613,IND,90.938339,44,38,61325,1
GSW,95.689407,34,48,66613,LAC,91.881775,37,45,62651,1
GSW,95.689407,34,48,66613,LAL,94.820389,34,48,65930,1
GSW,95.689407,34,48,66613,MEM,90.929123,45,37,61646,1
GSW,95.689407,34,48,66613,MIA,92.870872,59,23,63796,1
GSW,95.689407,34,48,66613,MIL,93.594177,30,52,63521,1
GSW,95.689407,34,48,66613,MIN,92.771713,44,38,62964,1
GSW,95.689407,34,48,66613,NJN,91.83976,42,40,61457,1
GSW,95.689407,34,48,66613,NOH,90.471931,18,64,61735,1
GSW,95.689407,34,48,66613,NYK,94.384277,33,49,63762,1
GSW,95.689407,34,48,66613,ORL,97.333916,36,46,65411,1
GSW,95.689407,34,48,66613,PHI,97.40168,43,39,66306,1
GSW,95.689407,34,48,66613,PHO,98.47644,62,20,69615,0
GSW,95.689407,34,48,66613,POR,92.568474,27,55,63280,1
GSW,95.689407,34,48,66613,SAC,96.841805,50,32,66721,0
GSW,95.689407,34,48,66613,SAS,91.455696,59,23,61433,1
GSW,95.689407,34,48,66613,SEA,91.244949,52,30,62773,1
GSW,95.689407,34,48,66613,TOR,95.012611,33,49,65318,1
GSW,95.689407,34,48,66613,UTA,91.195145,26,56,61361,1
GSW,95.689407,34,48,66613,WAS,96.008492,45,37,66161,0
HOU,91.30323,51,31,62345,ATL,93.94873,13,69,63680,1
HOU,91.30323,51,31,62345,BOS,95.735855,45,37,65720,0
HOU,91.30323,51,31,62345,CHI,96.283737,47,35,63778,0
HOU,91.30323,51,31,62345,CHR,96.20163,18,64,64207,1
HOU,91.30323,51,31,62345,CLE,93.840187,42,40,62969,0
HOU,91.30323,51,31,62345,DAL,95.204948,58,24,65387,0
HOU,91.30323,51,31,62345,DEN,96.02964,49,33,64821,0
HOU,91.30323,51,31,62345,DET,89.839737,54,28,61316,1
HOU,91.30323,51,31,62345,GSW,95.689407,34,48,66613,0
HOU,91.30323,51,31,62345,IND,90.938339,44,38,61325,1
HOU,91.30323,51,31,62345,LAC,91.881775,37,45,62651,1
HOU,91.30323,51,31,62345,LAL,94.820389,34,48,65930,0
HOU,91.30323,51,31,62345,MEM,90.929123,45,37,61646,1
HOU,91.30323,51,31,62345,MIA,92.870872,59,23,63796,0
HOU,91.30323,51,31,62345,MIL,93.594177,30,52,63521,1
HOU,91.30323,51,31,62345,MIN,92.771713,44,38,62964,1
HOU,91.30323,51,31,62345,NJN,91.83976,42,40,61457,1
HOU,91.30323,51,31,62345,NOH,90.471931,18,64,61735,1
HOU,91.30323,51,31,62345,NYK,94.384277,33,49,63762,1
HOU,91.30323,51,31,62345,ORL,97.333916,36,46,65411,0
HOU,91.30323,51,31,62345,PHI,97.40168,43,39,66306,0
HOU,91.30323,51,31,62345,PHO,98.47644,62,20,69615,0
HOU,91.30323,51,31,62345,POR,92.568474,27,55,63280,1
HOU,91.30323,51,31,62345,SAC,96.841805,50,32,66721,0
HOU,91.30323,51,31,62345,SAS,91.455696,59,23,61433,0
HOU,91.30323,51,31,62345,SEA,91.244949,52,30,62773,0
HOU,91.30323,51,31,62345,TOR,95.012611,33,49,65318,0
HOU,91.30323,51,31,62345,UTA,91.195145,26,56,61361,1
HOU,91.30323,51,31,62345,WAS,96.008492,45,37,66161,0
IND,90.938339,44,38,61325,ATL,93.94873,13,69,63680,1
IND,90.938339,44,38,61325,BOS,95.735855,45,37,65720,0
IND,90.938339,44,38,61325,CHI,96.283737,47,35,63778,0
IND,90.938339,44,38,61325,CHR,96.20163,18,64,64207,0
IND,90.938339,44,38,61325,CLE,93.840187,42,40,62969,0
IND,90.938339,44,38,61325,DAL,95.204948,58,24,65387,0
IND,90.938339,44,38,61325,DEN,96.02964,49,33,64821,0
IND,90.938339,44,38,61325,DET,89.839737,54,28,61316,0
IND,90.938339,44,38,61325,GSW,95.689407,34,48,66613,0
IND,90.938339,44,38,61325,HOU,91.30323,51,31,62345,0
IND,90.938339,44,38,61325,LAC,91.881775,37,45,62651,0
IND,90.938339,44,38,61325,LAL,94.820389,34,48,65930,0
IND,90.938339,44,38,61325,MEM,90.929123,45,37,61646,0
IND,90.938339,44,38,61325,MIA,92.870872,59,23,63796,0
IND,90.938339,44,38,61325,MIL,93.594177,30,52,63521,0
IND,90.938339,44,38,61325,MIN,92.771713,44,38,62964,0
IND,90.938339,44,38,61325,NJN,91.83976,42,40,61457,1
IND,90.938339,44,38,61325,NOH,90.471931,18,64,61735,1
IND,90.938339,44,38,61325,NYK,94.384277,33,49,63762,0
IND,90.938339,44,38,61325,ORL,97.333916,36,46,65411,0
IND,90.938339,44,38,61325,PHI,97.40168,43,39,66306,0
IND,90.938339,44,38,61325,PHO,98.47644,62,20,69615,0
IND,90.938339,44,38,61325,POR,92.568474,27,55,63280,0
IND,90.938339,44,38,61325,SAC,96.841805,50,32,66721,0
IND,90.938339,44,38,61325,SAS,91.455696,59,23,61433,0
IND,90.938339,44,38,61325,SEA,91.244949,52,30,62773,0
IND,90.938339,44,38,61325,TOR,95.012611,33,49,65318,0
IND,90.938339,44,38,61325,UTA,91.195145,26,56,61361,1
IND,90.938339,44,38,61325,WAS,96.008492,45,37,66161,0
LAC,91.881775,37,45,62651,ATL,93.94873,13,69,63680,1
LAC,91.881775,37,45,62651,BOS,95.735855,45,37,65720,0
LAC,91.881775,37,45,62651,CHI,96.283737,47,35,63778,0
LAC,91.881775,37,45,62651,CHR,96.20163,18,64,64207,0
LAC,91.881775,37,45,62651,CLE,93.840187,42,40,62969,0
LAC,91.881775,37,45,62651,DAL,95.204948,58,24,65387,0
LAC,91.881775,37,45,62651,DEN,96.02964,49,33,64821,0
LAC,91.881775,37,45,62651,DET,89.839737,54,28,61316,0
LAC,91.881775,37,45,62651,GSW,95.689407,34,48,66613,0
