@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class {0,1}
@attribute Outlier {yes,no}
@attribute ExtremeValue {yes,no}
@data
'CUMMITE01',1183,33898,19460,3183,5447,8630,2190,1255,650,2200,3836,16628,8045,4711,3326,149,44,1,yes,yes
'CUNNIBI01',654,22406,13626,159,714,6638,2625,115,45,0,2431,11467,5116,4717,3394,0,0,1,yes,no
'CURETEA01',674,12420,3620,1189,1983,3172,678,341,361,728,1535,3263,1545,985,530,16,0,0,yes,no
'CURRYDE01',1083,23548,12670,579,2038,2617,1909,985,238,1299,1795,11146,5090,1476,1245,3098,1245,0,yes,yes
'CURRYMI01',667,13207,2986,184,864,1048,804,336,66,459,1523,2448,1094,872,719,267,79,0,yes,yes
'DALEMSA01',188,4160,1292,382,854,1236,60,96,323,214,544,1026,542,340,208,1,0,0,yes,no
'DAMPIER01',556,14379,4951,1515,2579,4094,525,201,880,963,1706,4048,1858,1941,1234,12,1,0,yes,yes
'DANDRBO01',839,29502,15530,908,2337,5715,2846,661,303,630,2940,13317,6445,3382,2638,12,2,1,yes,no
'DANTLAD01',955,34151,23177,2207,3248,5455,2830,944,150,2503,2550,15121,8169,8351,6832,41,7,1,yes,yes
'DAUGHBR01',548,20029,10389,1207,4020,5227,2028,422,397,1511,1466,7189,3823,3670,2741,14,2,1,yes,no
'DAVISAN01',859,25148,8825,2047,4500,6547,996,407,879,1295,2426,6930,3105,3587,2613,22,2,1,yes,yes
'DAVISBA01',409,14192,6374,358,1212,1570,2788,769,165,1098,1161,5683,2327,1554,1036,2082,684,1,yes,yes
'DAVISBR01',961,22302,7866,301,1437,1738,4709,756,146,1377,2139,5820,2970,2001,1656,841,270,0,yes,yes
'DAVISDA01',1020,28966,8597,3039,5376,8415,960,681,1227,1071,2796,6681,3550,2667,1497,7,0,1,yes,yes
'DAVISJO01',750,21200,9710,560,945,1505,3368,683,116,1398,1469,8258,3699,2777,2279,187,33,0,yes,no
'DAVISWA03',1033,28859,19521,889,2164,3053,3878,1280,133,2541,2454,15871,8118,3676,3128,577,157,1,yes,yes
'DAWKIDA01',726,17235,8733,1125,3307,4432,917,345,1023,1621,2784,6079,3477,2593,1777,15,2,0,yes,yes
'DAWKIJO01',541,14859,5984,333,1003,1336,2997,618,29,1108,837,5175,2361,1262,1082,545,180,0,yes,yes
'DEBUSDA01',875,31202,14053,134,623,9618,2497,67,39,0,2801,13249,5722,3730,2609,0,0,1,yes,no
'DELEBI01',413,10004,4536,853,1711,2564,440,320,355,822,1297,3499,1847,1215,840,14,2,0,yes,no
'DIVACVL01',1134,33824,13398,2750,6576,9326,3541,1288,1631,2470,3609,10510,5205,4176,2888,426,100,1,yes,yes
'DONALJA01',957,26222,8203,2060,5432,7492,765,336,1267,1454,2025,5442,3105,2722,1993,0,0,1,yes,yes
'DOUGLLE01',456,10111,3587,1045,1909,2954,479,210,325,660,1631,2798,1386,1355,815,1,0,0,yes,no
'DOUGLSH01',765,21148,8425,558,1114,1672,4536,785,76,1760,1612,6886,3335,2361,1601,576,154,0,yes,yes
'DREWJO01',739,21828,15291,2158,2930,5088,1224,1004,193,1402,2641,11658,5481,5774,4319,57,10,1,yes,yes
'DREWLA01',714,18370,8110,259,1006,1265,3702,791,45,1565,1286,7085,3308,1724,1376,405,118,0,yes,yes
'DREXLCL01',1086,37537,22195,2615,4062,6677,6125,2207,719,2977,3285,17673,8335,5962,4698,2603,827,1,yes,yes
'DROBNPR01',278,5539,2187,242,731,973,225,132,117,242,512,2125,903,394,315,194,66,0,yes,yes
'DUCKWKE01',684,17462,8085,1369,2576,3945,598,329,316,1237,2195,6870,3216,2239,1648,24,5,1,yes,no
'DUDLECH02',886,16321,3473,2208,3249,5457,377,334,1027,740,2326,3380,1391,1509,691,5,0,0,yes,yes
'DUHONCH01',82,2177,487,23,190,213,398,82,3,119,205,488,172,67,49,265,94,0,yes,yes
'DUKESWA01',553,14671,5765,0,0,6223,608,0,0,0,2260,5175,1912,2773,1941,0,0,1,yes,no
'DUMARJO01',1018,35139,16401,671,1532,2203,4612,902,83,2084,1826,13026,5994,4059,3423,2592,990,1,yes,yes
'DUNCATI01',586,22456,13204,1726,5413,7139,1839,459,1488,1730,1614,9938,5041,4483,3101,108,21,1,yes,yes
'DUNNTR01',993,23080,5033,1729,2642,4371,1631,1316,252,815,2072,4443,2030,1341,972,20,1,0,yes,no
'EATONMA01',875,25169,5216,1857,5082,6939,840,368,3064,1293,2955,4526,2072,1653,1072,2,0,1,yes,yes
'EDNEYTY01',226,4743,1728,122,271,393,907,217,6,395,387,1438,583,617,497,202,65,0,yes,yes
'EDWARJA01',1168,28356,14862,1804,4200,6004,1499,420,867,1931,4042,11724,5802,4666,3257,21,1,0,yes,yes
'EDWARKE01',604,15332,6596,516,1139,1655,1609,825,197,1138,1028,6259,2650,1395,1120,525,176,0,yes,yes
