@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'KAUFFBO01',525,13568,6049,164,344,3682,1429,56,22,0,1374,4835,2306,1919,1437,0,0,1
'KAUTZWI01',50,0,253,0,0,0,37,0,0,0,114,420,107,73,39,0,0,0
'KEACL01',51,447,198,54,74,128,19,10,4,32,99,130,63,104,72,1,0,0
'KEARNMI01',6,25,1,0,0,3,5,0,0,0,1,5,0,4,1,0,0,0
'KEARNTO01',1,7,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
'KEEFEAD01',617,10334,3107,999,1557,2556,427,307,173,545,1114,2230,1120,1213,866,14,1,0
'KEELIHA01',20,75,44,3,3,6,10,7,0,7,9,39,17,14,10,0,0,0
'KELLEKE01',28,0,22,0,0,0,1,0,0,0,15,30,10,5,2,0,0,0
'KELLERI01',814,17711,6199,1872,3806,5678,2092,694,749,1576,2613,4435,2166,2384,1867,10,0,0
'KELLOCL01',260,8514,4918,852,1630,2482,764,381,105,731,858,4041,2008,1161,879,68,23,0
'KELLYGE01',46,0,262,0,0,0,21,0,0,0,131,323,94,112,74,0,0,0
'KELLYTO01',27,0,191,0,0,0,38,0,0,0,73,218,73,73,45,0,0,0
'KELSEGR01',305,6030,2961,609,793,1402,411,239,150,658,904,2255,1097,1110,762,30,5,0
'KELSOBE01',46,298,85,15,16,31,18,12,1,0,45,96,35,22,15,0,0,0
'KEMPSH01',1051,29291,15347,2953,5881,8834,1704,1185,1279,2724,3840,11278,5505,5805,4304,119,33,1
'KEMPTTI01',280,3758,1259,241,554,795,307,121,44,289,603,953,458,507,343,3,0,0
'KENDRFR01',24,121,80,19,17,36,6,11,3,0,22,77,31,22,18,0,0,0
'KENNEEU01',32,277,65,0,51,51,6,7,5,0,45,58,31,8,3,0,0,0
'KENNEJO01',86,1323,454,0,0,261,67,0,0,0,165,475,177,126,100,0,0,0
'KENNEWI01',7,52,12,0,0,8,9,0,0,0,6,21,4,6,4,0,0,0
'KENONLA01',503,15517,8535,1362,2580,3942,1287,675,155,1101,1078,7293,3564,1763,1406,10,1,1
'KENVIBI01',345,6778,2434,0,0,1206,715,0,0,0,670,2337,848,974,738,0,0,0
'KERNEJO01',1,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
'KERRIJA01',271,3572,2057,0,0,1286,667,0,0,0,858,1906,691,1020,675,0,0,0
'KERRJO01',905,27784,12480,0,0,10092,2004,0,0,0,2287,11751,4909,3682,2662,0,0,1
'KERRST01',910,16206,5437,183,877,1060,1658,476,46,504,847,4263,2042,726,627,1599,726,0
'KERSEJE01',1153,28115,11825,2330,4009,6339,2134,1439,799,1583,3454,10166,4723,3364,2321,288,58,0
'KESSLAL01',210,2937,1084,258,493,751,81,39,71,192,451,998,425,301,224,24,10,0
'KETNELA01',25,139,34,12,22,34,2,4,4,12,20,32,13,12,8,0,0,0
'KEYSRA01',241,3318,1262,210,341,551,192,135,45,175,523,1229,522,247,178,147,40,0
'KHRYAVI01',32,523,135,28,80,108,25,20,18,33,80,124,54,42,23,11,4,0
'KIDDJA01',786,29459,11617,1121,3952,5073,7283,1625,234,2606,1467,10385,4172,2958,2300,2957,973,1
'KIDDWA01',68,884,247,76,157,233,19,19,23,44,129,169,100,86,47,0,0,0
'KIFFIIR01',26,212,82,12,28,40,19,10,2,30,43,96,32,25,18,0,0,0
'KILEYJA01',53,504,124,0,0,51,65,0,0,0,61,203,46,56,32,0,0,0
'KILLUER01',4,12,1,0,0,2,0,0,0,0,1,4,0,1,1,0,0,0
'KILPACA01',2,6,3,1,3,4,0,0,0,0,1,2,1,2,1,0,0,0
'KIMBATO01',571,10439,3470,193,385,3870,571,51,23,0,1280,3251,1383,1229,704,0,0,0
'KIMBLBO01',105,1336,574,58,104,162,98,41,14,98,205,562,217,158,115,86,25,0
'KIMBRST01',13,65,21,4,3,7,6,5,0,4,5,22,9,2,2,2,1,0
'KINCHCH01',41,353,118,7,26,33,45,11,6,30,33,141,52,18,14,0,0,0
'KINGAL01',534,12836,6470,760,1502,2262,1171,452,196,1151,1612,5875,2709,1259,996,209,56,0
'KINGBE01',874,29417,19655,1704,3356,5060,2863,866,230,2791,2885,15109,7830,5444,3972,134,23,1
'KINGCH01',103,2058,693,108,203,311,116,74,34,119,183,640,271,166,105,120,46,0
'KINGDA01',12,103,19,0,0,25,3,0,0,0,5,22,7,10,5,0,0,0
'KINGFR01',13,79,27,5,11,16,7,6,0,5,11,28,10,8,6,3,1,0
'KINGGE01',411,13408,4219,0,0,1606,1958,0,0,0,1044,3971,1517,1847,1185,0,0,0
'KINGGE03',126,1829,566,129,264,393,84,50,27,92,238,467,235,129,96,0,0,0
'KINGJI01',607,11187,4377,0,0,1500,1412,0,0,0,1218,4067,1700,1249,977,0,0,1
'KINGJI02',64,890,285,43,69,112,90,24,13,61,78,261,112,81,56,34,5,0
'KINGMA01',38,973,226,0,0,106,144,0,0,0,90,249,99,35,28,0,0,0
'KINGRE01',438,11345,3898,850,1857,2707,691,365,147,653,1005,2940,1512,1251,874,3,0,0
'KINGRI01',72,309,135,30,44,74,21,5,7,28,61,112,44,71,47,2,0,0
'KINGST01',438,7406,2819,597,863,1460,387,173,210,527,906,2240,1071,952,673,17,4,0
'KINGTO01',58,0,295,0,0,0,32,0,0,0,102,410,97,160,101,0,0,0
'KINNEBO01',118,0,1125,0,0,0,177,0,0,0,475,1116,394,554,337,0,0,0
'KIRILAN01',281,8605,3767,513,1193,1706,608,451,685,549,616,2626,1219,1496,1176,492,153,1
'KIRKWA01',118,396,907,0,0,44,249,0,0,0,329,868,265,525,377,0,0,0
'KISTLDO01',5,13,8,0,0,1,0,0,0,0,2,6,3,4,2,0,0,0
'KITCHCU01',6,31,9,4,5,9,1,2,3,0,4,6,3,4,3,1,0,0
'KITEGR01',680,10080,1717,903,1704,2607,345,171,414,543,1589,1634,716,584,284,6,1,0
'KITTLKE01',507,16927,7165,471,1512,1983,1295,811,221,621,893,6337,2779,1171,913,1838,694,0
'KLEINJO01',965,14712,4666,1268,2723,3991,622,261,285,777,1988,4201,1902,1069,849,48,13,0
'KLIERLE01',113,0,802,0,0,0,177,0,0,0,301,1008,282,327,238,0,0,0
'KLOTZHE01',11,0,15,0,0,0,7,0,0,0,3,31,7,3,1,0,0,0
'KLUEHDU01',113,0,924,0,0,183,173,0,0,0,254,872,316,406,292,0,0,0
'KNIGHBI01',671,18412,10561,1158,1879,3037,1435,627,91,1256,1204,8026,4064,2892,2399,124,34,1
'KNIGHBO01',2,29,7,0,0,1,8,0,0,0,6,7,3,1,1,0,0,0
'KNIGHBR01',467,11940,3545,202,1015,1217,3057,837,65,971,1279,3231,1355,1055,823,76,12,0
'KNIGHBR02',1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
'KNIGHNE01',276,4513,1699,114,237,351,780,123,30,357,403,1539,671,455,332,95,25,0
'KNIGHRO01',101,1145,472,0,0,283,83,0,0,0,151,487,211,100,50,0,0,0
'KNIGHTO01',283,7331,3640,556,888,1444,335,242,185,444,896,3087,1602,589,436,2,0,0
'KNIGHTR01',371,4568,1276,405,755,1160,224,136,221,244,805,1192,522,312,217,58,15,0
'KNORELE01',131,0,873,0,0,0,206,0,0,0,497,1047,317,375,239,0,0,0
'KNOSTDI01',5,47,13,0,0,17,6,0,0,0,9,10,3,11,7,0,0,0
'KNOWLRO01',9,43,9,0,0,9,0,1,0,0,10,14,4,3,1,0,0,0
'KOFOEBA01',111,702,162,16,40,56,108,19,4,56,95,150,58,70,43,16,3,0
'KOJISDO01',814,19241,9948,140,282,4555,1112,89,16,0,1937,8853,3947,2853,2054,0,0,1
'KOMENMI01',64,0,634,0,0,0,124,0,0,0,246,861,244,250,146,0,0,0
'KOMIVHO01',742,20213,7550,10,33,1804,2941,32,3,0,2046,7652,2972,1936,1606,0,0,0
'KONCAJO01',784,16409,3520,1064,2792,3856,785,542,790,624,2474,3073,1444,1027,613,84,19,0
'KOPERBU01',56,631,247,0,0,61,43,0,0,0,59,241,106,42,35,0,0,0
'KOPICJO01',118,1187,432,111,203,314,84,37,8,75,150,278,137,191,155,11,3,0
'KORNEFR01',89,595,171,35,60,95,30,19,4,34,82,176,65,52,31,38,10,0
'KORVEKY01',156,3549,1272,70,420,490,222,128,40,147,367,1086,432,120,101,765,307,0
'KOSMALE01',76,506,110,40,104,144,53,9,10,0,75,103,41,36,28,0,0,0
'KOSTEAN01',21,0,135,0,0,0,14,0,0,0,48,110,46,70,43,0,0,0
'KOTTMHA01',53,0,165,0,0,0,17,0,0,0,58,188,59,101,47,0,0,0
'KOZELTO01',189,1911,407,121,225,346,99,68,16,0,281,399,167,98,73,0,0,0
'KRAMEAR01',8,45,16,6,6,12,3,0,5,5,8,22,7,2,2,0,0,0
'KRAMEBA01',52,507,186,0,0,100,41,0,0,0,67,186,63,84,60,0,0,0
'KRAMEJO01',328,4184,1257,337,579,916,343,140,62,264,585,1008,483,395,291,3,0,0
'KRAUSDA01',13,0,21,0,0,0,7,0,0,0,24,35,5,24,11,0,0,0
'KRAUTHE01',10,0,13,0,0,0,4,0,0,0,14,18,4,11,5,0,0,0
'KREBSJI01',515,10661,4128,0,0,3177,429,0,0,0,1539,4188,1696,975,736,0,0,0
'KREKLWA01',25,100,30,2,10,12,9,2,1,10,20,47,11,10,7,4,1,0
'KRONTO01',184,3139,1193,0,0,603,518,0,0,0,445,1158,450,389,293,0,0,0
'KROPPTO01',78,552,193,26,36,62,47,20,1,0,97,182,80,47,33,0,0,0
'KRSTINE01',75,1964,747,161,240,401,77,32,63,112,280,570,281,255,185,2,0,0
'KRYSTLA01',421,9098,3425,643,1408,2051,513,264,62,522,1048,2830,1294,1046,832,36,5,0
'KUBERST01',568,7897,3114,315,519,2146,338,38,28,2,915,3005,1254,790,606,0,0,0
'KUBIALE01',62,0,710,0,0,0,201,0,0,0,250,794,259,236,192,0,0,0
'KUCZEBR01',15,119,28,7,16,23,8,1,1,15,18,37,10,12,8,0,0,0
'KUDELFR01',228,2150,1642,0,0,521,490,0,0,0,738,1853,614,585,414,0,0,0
'KUESTJO01',135,1527,451,27,114,141,305,83,3,122,180,405,173,126,105,1,0,0
'KUKARA01',52,0,253,0,0,0,38,0,0,0,133,309,99,93,55,0,0,0
'KUKOCTO01',781,21194,9493,965,2440,3405,2979,784,273,1478,1378,7829,3517,2431,1773,2037,686,0
'KUNNEKE01',555,12104,4602,1393,2638,4031,784,252,616,391,1927,4251,2022,818,558,0,0,0
'KUPCHMI01',510,9905,5202,963,1767,2730,377,164,176,682,1117,3832,2003,1698,1196,4,0,0
'KUPECCH01',147,1589,606,107,206,313,108,31,7,24,174,579,247,145,112,0,0,0
'KUTLUIB01',5,12,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0
'LACEYSA01',1002,31873,10303,1647,5226,9687,3754,999,1160,978,3473,9693,4276,2369,1748,16,3,1
'LACOUFR01',144,2400,940,0,0,474,269,0,0,0,268,904,381,230,178,0,0,0
'LAETTCH01',868,25761,11121,1582,4224,5806,2224,917,673,1932,2768,8405,4036,3604,2957,353,92,1
'LAFRERA01',415,11871,4886,743,2137,2880,477,228,819,423,1474,4066,1923,946,676,1002,364,0
'LAGARTO01',312,6194,2376,504,1089,1593,456,94,131,534,860,1882,870,994,636,2,0,0
'LAIMBBI01',1068,33956,13790,2819,7581,10400,2184,710,965,1594,3633,11198,5574,2916,2440,619,202,1
'LALICPE01',1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
'LAMARBO01',71,1165,502,30,62,92,177,59,3,0,73,561,228,68,46,0,0,0
'LAMBEJO01',446,5564,1688,561,932,1493,248,153,172,258,863,1694,725,342,237,12,1,0
'LAMPEMA01',58,604,211,33,100,133,20,8,10,32,79,220,92,35,25,8,2,0
'LAMPJE01',291,3471,1495,131,306,437,269,105,14,219,400,1292,607,320,269,54,12,0
'LAMPLJI01',1,16,3,1,4,5,0,1,0,1,0,3,1,2,1,0,0,0
'LAMPLSE01',45,550,203,26,68,94,33,7,4,28,45,149,69,94,65,4,0,0
'LANDSMA01',437,7306,2468,1041,1640,2681,236,124,70,473,692,2128,1024,805,420,3,0,0
'LANEJE01',218,3215,1154,567,691,1258,322,138,39,261,546,1126,497,420,159,16,1,0
'LANGAN01',737,15345,4433,1188,2331,3519,424,332,1099,697,2037,3786,1781,1164,866,20,5,0
'LANGAN02',143,1395,329,80,130,210,50,55,46,88,207,266,121,121,87,8,0,0
'LANGDTR01',119,1736,647,21,138,159,152,56,14,98,179,529,220,133,121,217,86,0
'LANGHDA01',133,1254,393,37,162,199,39,30,12,35,106,440,172,62,38,38,11,0
'LANIEBO01',959,32103,19248,1843,4853,9698,3007,777,1100,1112,3048,15092,7761,4858,3724,13,2,1
'LANTZST01',547,15267,6782,150,256,1820,1566,121,18,0,1320,5674,2469,2266,1844,0,0,0
'LARESYO01',59,703,302,0,0,77,94,0,0,0,104,327,122,72,58,0,0,0
'LARUERU01',98,1564,486,11,115,126,152,62,11,94,147,497,187,69,58,170,54,0
'LARUSRU01',736,24487,11507,0,0,6936,1556,0,0,0,2553,9521,4102,4308,3303,0,0,1
'LASKOJO01',118,2132,832,68,214,282,99,88,12,0,112,902,359,150,114,0,0,0
'LATTIDA01',112,1244,506,0,0,427,62,0,0,0,257,468,187,205,132,0,0,0
'LAUDEPR01',74,525,255,43,100,143,33,8,26,83,102,216,102,92,51,1,0,0
'LAURERI01',10,57,24,6,4,10,3,3,1,4,10,31,10,4,4,0,0,0
'LAUTEWA01',55,0,238,0,0,0,73,0,0,0,122,332,100,55,38,0,0,0
'LAVELTO01',86,0,591,0,0,59,63,0,0,0,163,529,194,238,203,0,0,0
'LAVOYBO01',264,5433,2156,0,0,1634,391,0,0,0,889,2139,821,727,514,0,0,0
'LAWREED01',3,19,12,2,2,4,1,1,0,1,6,8,5,4,2,0,0,0
'LAWSOJA01',17,80,26,8,19,27,5,4,4,2,14,15,9,10,8,0,0,0
'LAYTODE01',264,4429,1826,0,112,353,699,51,11,59,529,1708,765,396,296,0,0,0
'LEAKSEM01',135,3375,1114,94,150,921,120,10,39,0,286,1165,456,283,202,0,0,0
'LEARHA01',3,14,4,0,0,1,1,0,0,0,3,6,2,0,0,0,0,0
'LEAVEAL01',700,16248,6684,294,870,1164,3339,929,120,1324,1489,5666,2549,1733,1445,603,141,0
'LEBOJE01',4,32,6,2,2,4,3,2,0,1,7,7,2,2,2,0,0,0
'LECKNER01',449,5448,1835,362,1056,1418,211,84,140,386,1014,1403,713,611,409,5,0,0
'LEEBU01',96,1834,773,40,97,137,307,87,1,164,148,658,296,238,181,0,0,0
'LEECL01',742,19885,5733,640,1168,7626,788,80,64,0,2203,5223,2256,1988,1221,0,0,1
'LEEDEED01',121,0,949,0,0,118,225,0,0,0,311,877,293,505,363,0,0,0
'LEEDO01',73,415,168,17,25,42,32,17,5,20,64,148,61,40,28,58,18,0
'LEEGE01',297,5158,2229,0,0,1235,258,0,0,0,504,1955,740,1021,749,0,0,0
'LEEGR01',5,35,6,0,2,2,11,2,0,0,6,4,2,2,2,0,0,0
'LEEKE01',182,2907,1114,282,579,861,178,74,110,216,489,1012,456,268,200,12,2,0
'LEEKU01',48,265,66,7,23,30,34,11,2,20,39,71,19,28,25,15,3,0
'LEERO01',448,9586,3285,397,822,1219,1688,869,122,783,1368,3117,1296,924,651,131,42,0
'LEERO02',2,10,2,0,1,1,2,0,0,0,3,2,1,4,0,0,0,0
'LEERU01',97,582,282,31,40,114,65,22,3,0,82,297,116,73,50,0,0,0
'LEFKOHA01',24,0,51,0,0,0,4,0,0,0,35,114,22,13,7,0,0,0
'LEGLETI01',310,5253,2182,128,353,481,402,149,41,194,509,1706,762,474,398,604,260,0
'LEHMAGE02',66,635,213,0,0,53,120,0,0,0,72,239,85,55,43,0,0,0
'LENARVO01',539,14895,6554,316,1246,1562,1139,403,127,717,1173,5701,2369,1140,905,2359,911,0
'LEONABO01',426,11632,4204,0,0,1217,1427,0,0,0,915,4510,1574,1418,1056,0,0,0
'LEONAGA01',31,149,44,13,21,34,2,4,10,9,31,37,17,20,10,1,0,0
'LESJI01',321,4222,1210,86,310,396,930,169,20,295,421,938,372,330,270,495,196,0
'LESTERO01',250,4959,1816,148,325,473,1003,187,32,474,395,1449,679,575,453,22,5,0
'LETTCL01',11,127,38,1,6,7,8,2,1,10,17,37,16,9,6,1,0,0
'LEVANAN01',103,68,463,0,0,9,204,0,0,0,158,635,197,109,69,0,0,0
'LEVERLA01',752,23814,10433,1442,3081,4523,4696,1666,209,1471,1803,9504,4244,2312,1783,523,162,1
'LEVINCL01',830,16962,5888,1772,2535,4307,752,534,592,829,2299,4524,2333,1800,1217,33,5,0
'LEWISBO01',255,4303,1481,0,0,533,555,0,0,0,503,1482,564,496,353,0,0,0
'LEWISCE01',3,4,4,2,0,2,0,1,0,0,0,3,2,0,0,0,0,0
'LEWISFR01',64,886,373,17,30,91,96,18,2,0,107,352,141,118,91,0,0,1
'LEWISFR02',95,0,799,0,0,0,132,0,0,0,207,1018,318,213,163,0,0,0
'LEWISGR01',139,0,750,0,0,0,132,0,0,0,421,1082,273,343,204,0,0,0
'LEWISMA01',25,239,89,18,17,35,7,9,5,15,29,74,35,27,16,10,3,0
'LEWISQU01',159,1853,567,68,142,210,96,59,36,98,335,584,232,93,66,111,37,0
'LEWISRA01',479,15695,7341,744,2065,2809,724,538,273,725,1143,6006,2761,1448,1139,1762,680,0
'LEWISRA02',99,672,229,56,62,118,29,25,7,45,67,215,89,89,50,4,1,0
'LEWISRE01',450,14676,7902,577,1361,1938,1153,569,417,708,1268,6550,3198,1794,1479,135,27,1
'LIBERMA01',267,4568,1942,418,507,925,244,189,73,264,495,1877,783,467,310,194,66,0
'LICHTTO01',237,4240,1870,177,328,505,325,179,45,254,417,1595,733,488,385,78,19,0
'LIGONBI01',38,272,126,14,12,26,25,8,9,0,31,143,55,25,16,0,0,0
'LINGEST01',10,67,10,4,12,16,5,1,3,6,22,7,5,6,0,0,0,0
'LISTEAL01',953,18965,6298,1844,4152,5996,914,351,1473,1450,3179,4907,2514,2126,1269,9,1,0
'LIVINRA01',194,2636,773,63,214,277,410,120,31,221,289,744,304,170,131,97,34,0
'LIVINRO01',117,0,732,0,0,297,217,0,0,0,480,932,267,286,198,0,0,0
'LIVINSH01',30,812,222,22,67,89,151,32,11,75,82,215,89,59,44,2,0,0
'LLAMAHO01',28,143,58,8,28,36,5,11,8,20,39,49,23,18,11,3,1,0
'LLOYDEA01',560,14477,4682,0,0,3609,810,0,0,0,2098,4955,1766,1533,1150,0,0,0
'LLOYDLE01',388,9406,5130,488,704,1192,1138,365,133,820,833,4144,2172,1006,776,46,10,0
'LLOYDSC01',372,5638,1694,422,692,1114,356,100,73,304,823,1521,647,554,398,7,2,0
'LOCHMBO01',62,802,232,0,0,162,47,0,0,0,143,245,79,122,74,0,0,0
'LOCKHDA01',2,14,4,0,3,3,0,0,0,2,5,2,2,0,0,0,0,0
'LOCKHIA01',1,2,4,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0
'LOCKRO01',20,110,30,14,18,32,4,3,4,13,15,32,9,15,12,0,0,0
'LODERKE01',148,2094,875,113,225,338,174,67,43,143,261,791,365,200,139,23,6,0
'LOFGRDO01',209,3422,1265,0,0,817,216,0,0,0,491,1324,436,568,393,0,0,0
'LOGANJO01',257,0,3196,0,0,134,783,0,0,0,740,3609,1125,1234,946,0,0,0
'LOHAUBR01',656,10378,3854,483,1386,1869,714,307,503,555,1300,3506,1542,516,378,1085,392,0
'LONGAR01',98,1220,345,71,248,319,48,27,42,85,220,323,148,97,47,3,2,0
'LONGGR01',1003,28514,9518,2145,4009,6154,1716,1199,366,1628,2957,7440,3472,3272,2491,293,83,0
'LONGJO01',893,22680,12131,998,1494,2492,1738,912,180,1555,1868,10929,5108,2104,1814,314,101,0
'LONGLLU01',567,12006,4090,872,1922,2794,836,278,549,942,1730,3647,1685,947,720,5,0,0
'LONGPA01',71,436,274,0,0,57,54,0,0,0,58,233,108,77,58,0,0,0
'LOPEZFE01',249,4147,1448,188,416,604,252,161,62,254,451,1274,550,455,300,147,48,0
'LOPEZRA01',113,2135,733,31,163,194,428,84,5,221,278,652,280,150,128,130,45,0
'LORTHRY01',37,672,272,24,47,71,101,28,1,57,42,223,106,88,57,14,3,0
'LOSCUJI01',511,9431,3156,0,0,2848,353,0,0,0,1497,3868,1333,750,490,0,0,0
'LOTTPL01',67,638,147,0,0,123,43,0,0,0,74,214,63,36,21,0,0,0
'LOUGHKE01',755,22308,11575,0,0,2254,2803,0,0,0,2543,10829,4477,3262,2621,0,0,0
'LOVEBO01',789,25120,13895,552,1033,4653,1123,232,56,0,2130,12688,5447,3728,3001,0,0,1
'LOVELCL01',704,19075,11947,0,0,6663,1097,0,0,0,2289,10795,4784,3141,2379,0,0,1
'LOVEST01',239,3515,1579,85,206,929,181,60,33,6,582,1474,649,374,281,0,0,0
'LOWERCH01',20,134,45,0,0,19,14,0,0,0,16,38,17,18,11,0,0,0
'LOWESI01',193,3422,562,81,254,335,749,191,9,191,282,540,198,212,162,30,4,0
'LUCASAL01',2,0,2,0,0,0,2,0,0,0,0,3,1,0,0,0,0,0
'LUCASJE01',829,32131,14053,62,312,12942,2732,28,24,0,2387,11441,5709,3365,2635,0,0,1
'LUCASJO01',928,25556,9951,490,1661,2151,6454,1273,73,1803,1691,8696,3905,2446,1897,806,244,0
'LUCASMA01',855,24787,12339,2119,5401,7520,1987,639,538,1810,2865,10297,4870,3399,2595,36,4,1
'LUCKETE01',87,597,196,0,0,166,35,0,0,0,101,188,69,96,58,0,0,0
'LUETY01',353,8583,3041,73,584,657,1235,217,6,449,723,2682,1171,516,419,739,280,0
'LUISIJI01',31,367,89,0,0,25,35,0,0,0,45,95,31,41,27,0,0,0
'LUJACAL01',5,0,4,0,0,0,0,0,0,0,6,8,1,5,2,0,0,0
'LUMPKPH01',82,1162,272,17,65,82,225,35,3,0,106,255,108,69,56,0,0,0
'LUMPPRA01',300,2739,2462,0,0,391,654,0,0,0,793,2444,895,876,672,0,0,0
'LYNCHGE01',774,17674,5109,1438,2463,3901,1121,817,259,890,1675,4677,2086,1213,791,477,146,0
'LYNCHKE01',95,1143,310,42,78,120,108,48,15,68,151,282,123,84,61,9,3,0
'LYNNMI01',49,428,126,0,0,68,31,0,0,0,96,140,46,51,34,0,0,0
'MACALMI01',30,112,48,10,15,25,3,7,1,0,31,44,19,17,10,0,0,0
'MACAUED01',641,18071,11234,0,0,4325,2079,0,0,0,1667,8589,3742,4929,3750,0,0,1
'MACCUTO01',223,3437,1369,247,641,888,121,61,177,154,478,1049,568,363,233,0,0,0
'MACGIRO01',6,57,8,0,0,9,11,0,0,0,5,12,2,7,4,0,0,0
'MACKEMA01',22,69,32,12,12,24,1,0,3,2,9,37,14,8,4,2,0,0
'MACKLRU01',160,2752,1030,203,261,464,121,82,30,207,431,874,392,317,246,7,0,0
'MACKNJO01',117,0,823,0,0,110,134,0,0,0,262,898,285,348,253,0,0,0
'MACKOL01',128,2513,916,132,187,319,230,85,11,109,173,864,396,184,124,16,0,0
'MACKSA01',259,5027,2011,109,424,533,336,164,38,220,459,1781,713,308,256,879,329,0
'MACLEDO01',319,6680,3490,356,854,1210,404,118,51,398,598,2902,1320,1038,794,197,56,0
'MACONMA01',251,5018,1685,173,294,467,428,349,20,323,587,1806,694,358,263,126,34,0
'MACYKY01',551,14246,5259,311,903,1214,2198,631,49,712,1081,4339,2175,821,717,568,192,0
'MADDOJA01',1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
'MADDOTI01',9,35,11,1,6,7,5,3,1,3,4,12,3,8,5,3,0,0
'MADKIGE01',48,422,80,3,23,26,65,24,1,29,36,71,26,21,16,32,12,0
'MADSEMA01',296,3918,825,360,513,873,152,79,72,147,609,692,325,310,174,9,1,0
'MAGERNO01',24,0,124,0,0,47,22,0,0,0,68,142,40,56,44,0,0,0
'MAGGECO01',412,11412,6098,475,1496,1971,827,290,94,909,1066,4258,1905,2482,2034,782,254,0
'MAGLEDA01',14,56,12,2,8,10,2,2,0,2,5,16,4,8,4,1,0,0
'MAGLOJA01',343,8569,3268,745,1787,2532,261,145,399,597,968,2356,1136,1393,996,7,0,1
'MAHNKJO01',414,1352,2388,0,0,533,539,0,0,0,1143,3557,966,702,456,0,0,0
'MAHONFR01',8,45,12,0,0,9,2,0,0,0,7,12,4,5,4,0,0,0
'MAHORRI01',1117,25779,7763,1814,5143,6957,1082,633,1006,1456,3499,6286,3098,2218,1562,38,5,0
'MAJERDA01',955,30209,10925,1103,3162,4265,2755,1194,360,1116,1927,9171,3950,2246,1665,3798,1360,1
'MALAMLI01',44,0,258,0,0,0,61,0,0,0,53,290,97,77,64,0,0,0
'MALONJE01',905,29660,17231,572,1792,2364,2154,577,100,1538,1695,14674,7099,3383,2947,321,86,1
'MALONKA01',1476,54852,36928,3456,11511,14967,5248,2085,1145,4524,4578,26210,13528,13188,9787,310,85,1
'MALONMA01',295,7470,2177,62,438,500,852,240,14,381,376,1920,783,266,212,1073,399,0
'MALONMO01',1329,45071,27409,6731,9481,16212,1796,1089,1732,3804,3076,19225,9435,11090,8531,80,8,1
'MALOVST01',39,445,80,36,50,86,26,8,6,23,51,67,31,27,18,0,0,0
'MANAKTE01',5,45,12,0,3,3,2,1,0,0,4,10,4,4,4,0,0,0
'MANDIJO01',81,0,335,0,0,0,88,0,0,0,205,377,119,147,97,0,0,0
'MANGIFR01',6,0,5,0,0,0,0,0,0,0,6,13,2,3,1,0,0,0
'MANNIDA01',883,24205,12367,1511,3104,4615,2063,1000,752,1853,2895,9835,5026,3120,2274,199,41,1
'MANNIED01',280,4013,1418,0,0,1264,200,0,0,0,593,1427,603,302,212,0,0,0
'MANNIPA01',216,2125,660,88,171,259,231,107,21,132,238,623,257,196,130,79,16,0
'MANNIRI01',55,512,182,32,62,94,10,7,8,24,66,195,81,28,18,5,2,0
'MANTINI01',42,755,236,0,0,91,92,0,0,0,102,283,104,51,28,0,0,0
'MARAVPE01',51,0,234,0,0,0,6,0,0,0,102,375,102,58,30,0,0,0
'MARAVPE02',658,24316,15948,426,1421,2747,3563,587,108,530,1865,14025,6187,4344,3564,15,10,1
'MARBLRO01',29,194,55,18,14,32,12,7,3,17,17,70,18,32,19,2,0,0
'MARBUST01',665,25734,13689,444,1597,2041,5498,857,102,2126,1595,11222,4876,3963,3136,2500,801,1
'MARCISA01',363,8123,4631,292,527,819,807,459,31,715,971,3109,1571,1773,1362,344,127,0
'MARIASA01',43,0,333,0,0,0,60,0,0,0,121,463,125,117,83,0,0,0
'MARINJA01',849,24590,12541,259,675,4405,1813,155,59,0,2416,10890,5068,2852,2405,0,0,1
'MARIOSH01',452,16963,8219,1037,3372,4409,957,833,566,762,1148,7122,3298,1438,1205,1196,418,1
'MARKSSE01',80,826,245,40,129,169,19,15,28,53,112,241,94,83,57,5,0,0
'MARLAHA01',61,746,225,0,0,86,94,0,0,0,92,233,87,60,51,0,0,0
'MARSHDO01',744,21062,9208,1600,3819,5419,1174,681,743,1115,1828,8076,3557,1988,1455,1804,639,0
'MARSHDO02',119,919,293,31,90,121,36,37,5,45,107,271,87,113,77,125,42,0
'MARSHER01',60,851,269,16,59,75,90,29,19,50,111,289,123,33,23,0,0,0
'MARSHJI01',39,375,119,0,0,84,30,0,0,0,50,117,39,59,41,0,0,0
