@relation players
@attribute ilkid string
@attribute gp integer
@attribute minutes integer
@attribute pts integer
@attribute oreb integer
@attribute dreb integer
@attribute reb integer
@attribute asts integer
@attribute stl integer
@attribute blk integer
@attribute turnover integer
@attribute pf integer
@attribute fga integer
@attribute fgm integer
@attribute fta integer
@attribute ftm integer
@attribute tpa integer
@attribute tpm integer
@attribute class integer
@data
'BERGEGA01',6,40,8,0,0,8,1,0,0,0,4,11,3,2,2,0,0,0
'BERRYRI01',64,1406,706,57,140,197,80,37,22,82,197,567,255,166,131,160,65,0
'BERRYWA01',205,4863,2882,398,573,971,292,122,151,404,586,2227,1201,751,479,5,1,0
'BESHODE01',69,870,244,16,47,63,139,58,5,104,105,250,88,87,58,26,10,0
'BESTTR01',708,15149,5376,216,1033,1249,2444,661,60,928,1616,4642,2002,1324,1106,772,266,0
'BIANCAL01',687,13649,5550,0,0,1722,1497,0,0,0,2069,5919,2212,1592,1126,0,0,0
'BIASAHA01',6,0,6,0,0,0,0,0,0,0,3,5,2,4,2,0,0,0
'BIBBYHE01',675,15475,5775,463,1036,1581,2259,561,34,573,1364,5073,2149,1834,1434,147,43,0
'BIBBYMI01',511,18660,8203,339,1385,1724,3348,712,103,1280,1004,6912,3106,1773,1405,1588,586,0
'BIEDEED01',7,18,4,0,0,2,3,0,0,0,1,6,0,6,4,0,0,0
'BIEDRAN01',30,384,109,47,71,118,12,12,24,12,87,78,45,40,19,1,0,0
'BIELKDO01',7,38,14,0,0,9,1,0,0,0,9,9,5,7,4,0,0,0
'BIGELBO01',94,762,234,35,76,111,42,19,4,18,75,220,91,71,52,0,0,0
'BILLUCH01',529,16104,7202,250,1274,1524,2433,520,80,1048,1168,5534,2263,2091,1836,2212,840,0
'BINGDA01',901,32769,18327,418,741,3420,5397,483,89,216,2615,15769,6962,5683,4403,0,0,1
'BINIOJO01',11,51,14,8,10,18,1,2,2,3,5,10,4,10,6,0,0,0
'BIRDJE01',11,45,25,0,0,12,4,0,0,0,7,32,12,1,1,0,0,0
'BIRDLA01',897,34443,21791,1757,7217,8974,5695,1556,755,2816,2279,17334,8591,4471,3960,1727,649,1
'BIRDSOT01',696,21627,12544,920,1152,2072,2260,858,143,1491,1783,10562,5347,2748,1801,179,49,1
